,SK_Pedidos,en_destino,en_origem,SK_Localizacoes
114128,93206,,27376.0,27376.0
114129,93207,,19319.0,19319.0
114130,93207,,19320.0,19320.0
114131,93208,,19172.0,19172.0
114132,93209,,27345.0,27345.0
114133,93209,,27346.0,27346.0
114134,93210,,26902.0,26902.0
114135,93210,,26903.0,26903.0
114136,93211,,,
114137,93212,,22410.0,22410.0
114138,93212,,22411.0,22411.0
114139,93213,,22410.0,22410.0
114140,93213,,22411.0,22411.0
114141,93214,,,
114142,93215,,18522.0,18522.0
114143,93215,,18523.0,18523.0
114144,93216,,24931.0,24931.0
114145,93216,,24932.0,24932.0
114146,93217,,13019.0,13019.0
114147,93218,,,
114148,93219,,,
114149,93220,,,
114150,93221,,,
114151,93222,,,
114152,93223,,22204.0,22204.0
114153,93223,,22205.0,22205.0
114154,93224,,2584.0,2584.0
114155,93224,,2585.0,2585.0
114156,93225,,2584.0,2584.0
114157,93225,,2585.0,2585.0
114158,93226,,,
114159,93227,,,
114160,93228,,,
114161,93229,,26122.0,26122.0
114162,93229,,26123.0,26123.0
114163,93230,,,
114164,93231,,19734.0,19734.0
114165,93231,,19735.0,19735.0
114166,93232,,19128.0,19128.0
114167,93233,,,
114168,93234,,11116.0,11116.0
114169,93234,,11117.0,11117.0
114170,93235,,13045.0,13045.0
114171,93235,,13046.0,13046.0
114172,93236,,,
114173,93237,,,
114174,93238,,,
114175,93239,,,
114176,93240,,,
114177,93241,,3685.0,3685.0
114178,93242,,,
114179,93243,,,
114180,93244,,3697.0,3697.0
114181,93245,,,
114182,93246,,,
114183,93247,,18431.0,18431.0
114184,93247,,18432.0,18432.0
114185,93248,,,
114186,93249,,19883.0,19883.0
114187,93250,,,
114188,93251,,,
114189,93252,,,
114190,93253,,,
114191,93254,,20539.0,20539.0
114192,93254,,20540.0,20540.0
114193,93255,,,
114194,93256,,,
114195,93257,,,
114196,93258,,,
114197,93259,,19850.0,19850.0
114198,93260,,26615.0,26615.0
114199,93260,,26616.0,26616.0
114200,93261,,20674.0,20674.0
114201,93261,,20675.0,20675.0
114202,93262,,,
114203,93263,,14833.0,14833.0
114204,93264,,,
114205,93265,,25015.0,25015.0
114206,93266,,2103.0,2103.0
114207,93267,,,
114208,93268,,6735.0,6735.0
114209,93268,,6736.0,6736.0
114210,93268,,6737.0,6737.0
114211,93269,,,
114212,93270,,,
114213,93271,,26902.0,26902.0
114214,93271,,26903.0,26903.0
114215,93272,,,
114216,93273,,17544.0,17544.0
114217,93274,,,
114218,93275,,3362.0,3362.0
114219,93276,,3362.0,3362.0
114220,93277,,,
114221,93278,,,
114222,93279,,,
114223,93280,,14833.0,14833.0
114224,93281,,,
114225,93282,,19048.0,19048.0
114226,93283,,,
114227,93284,,20674.0,20674.0
114228,93284,,20675.0,20675.0
114229,93285,,,
114230,93286,,19319.0,19319.0
